0.1.1	Титульный лист первого издания «Манифеста Коммунистической партии»
0.2.1	Призрак бродит по Европе – призрак коммунизма.
0.2.2	Все силы старой Европы объединились для священной травли этого призрака: папа и царь, Меттерних и Гизо, французские радикалы и немецкие полицейские.
0.3.1	Где та оппозиционная партия, которую ее противники, стоящие у власти, не ославили бы коммунистической?
0.3.2	Где та оппозиционная партия, которая в свою очередь не бросала бы клеймящего обвинения в коммунизме как более передовым представителям оппозиции, так и своим реакционным противникам?
0.4.1	Два вывода вытекают из этого факта.
0.5.1	Коммунизм признается уже силой всеми европейскими силами.
0.6.1	Пора уже коммунистам перед всем миром открыто изложить свои взгляды, свои цели, свои стремления и сказкам о призраке коммунизма противопоставить манифест самой партии.
0.7.1	С этой целью в Лондоне собрались коммунисты самых различных национальностей и составили следующий «Манифест», который публикуется на английском, французском, немецком, итальянском, фламандском и датском языках.
1.1.1	История всех до сих пор существовавших обществ была историей борьбы классов.
1.2.1	Свободный и раб, патриций и плебей, помещик и крепостной, мастер и подмастерье, короче, угнетающий и угнетаемый находились в вечном антагонизме друг к другу, вели непрерывную, то скрытую, то явную борьбу, всегда кончавшуюся революционным переустройством всего общественного здания или общей гибелью борющихся классов.
1.3.1	В предшествующие исторические эпохи мы находим почти повсюду полное расчленение общества на различные сословия, – целую лестницу различных общественных положений.
1.3.2	В Древнем Риме мы встречаем патрициев, всадников, плебеев, рабов; в средние века – феодальных господ, вассалов, цеховых мастеров, подмастерьев, крепостных, и к тому же почти в каждом из этих классов – еще особые градации.
1.4.1	Вышедшее из недр погибшего феодального общества современное буржуазное общество не уничтожило классовых противоречий.
1.4.2	Оно только поставило новые классы, новые условия угнетения и новые формы борьбы на место старых.
1.5.1	Наша эпоха, эпоха буржуазии, отличается, однако, тем, что она упростила классовые противоречия: общество все более и более раскалывается на два большие враждебные лагеря, на два большие, стоящие друг против друга, класса – буржуазию и пролетариат.
1.6.1	Из крепостных средневековья вышло свободное население первых городов; из этого сословия горожан развились первые элементы буржуазии.
1.7.1	Открытие Америки и морского пути вокруг Африки создало для подымающейся буржуазии новое поле деятельности.
1.7.2	Ост-индский и китайский рынки, колонизация Америки, обмен с колониями, увеличение количества средств обмена и товаров вообще дали неслыханный до тех пор толчок торговле, мореплаванию, промышленности и тем самым вызвали в распадавшемся феодальном обществе быстрое развитие революционного элемента.
1.8.1	Прежняя феодальная, или цеховая, организация промышленности более не могла удовлетворить спроса, возраставшего вместе с новыми рынками.
1.8.2	Место ее заняла мануфактура.
1.8.3	Цеховые мастера были вытеснены промышленным средним сословием; разделение труда между различными корпорациями исчезло, уступив место разделению труда внутри отдельной мастерской.
1.9.1	Но рынки все росли, спрос все увеличивался.
1.9.2	Удовлетворить его не могла уже и мануфактура.
1.9.3	Тогда пар и машина произвели революцию в промышленности.
1.9.4	Место мануфактуры заняла современная крупная промышленность, место промышленного среднего сословия заняли миллионеры-промышленники, предводители целых промышленных армий, современные буржуа.
1.10.1	Крупная промышленность создала всемирный рынок, подготовленный открытием Америки.
1.10.2	Всемирный рынок вызвал колоссальное развитие торговли, мореплавания и средств сухопутного сообщения.
1.10.3	Это в свою очередь оказало воздействие на расширение промышленности, и в той же мере, в какой росли промышленность, торговля, мореплавание, железные дороги, развивалась буржуазия, она увеличивала свои капиталы и оттесняла на задний план все классы, унаследованные от средневековья.
1.11.1	Мы видим, таким образом, что современная буржуазия сама является продуктом длительного процесса развития, ряда переворотов в способе производства и обмена.
1.12.1	Каждая из этих ступеней развития буржуазии сопровождалась соответствующим политическим успехом.
1.12.2	Угнетенное сословие при господстве феодалов, вооруженная и самоуправляющаяся ассоциация в коммуне, тут – независимая городская республика, там – третье, податное сословие монархии, затем, в период мануфактуры, – противовес дворянству в сословной или в абсолютной монархии и главная основа крупных монархий вообще, наконец, со времени установления крупной промышленности и всемирного рынка, она завоевала себе исключительное политическое господство в современном представительном государстве.
1.12.3	Современная государственная власть – это только комитет, управляющий общими делами всего класса буржуазии.
1.13.1	Буржуазия сыграла в истории чрезвычайно революционную роль.
1.14.1	Буржуазия, повсюду, где она достигла господства, разрушила все феодальные, патриархальные, идиллические отношения.
1.14.2	Безжалостно разорвала она пестрые феодальные путы, привязывавшие человека к его «естественным повелителям», и не оставила между людьми никакой другой связи, кроме голого интереса, бессердечного «чистогана».
1.14.3	В ледяной воде эгоистического расчета потопила она священный трепет религиозного экстаза, рыцарского энтузиазма, мещанской сентиментальности.
1.14.4	Она превратила личное достоинство человека в меновую стоимость и поставила на место бесчисленных пожалованных и благоприобретенных свобод одну бессовестную свободу торговли.
1.14.5	Словом, эксплуатацию, прикрытую религиозными и политическими иллюзиями, она заменила эксплуатацией открытой, бесстыдной, прямой, черствой.
1.15.1	Буржуазия лишила священного ореола все роды деятельности, которые до тех пор считались почетными и на которые смотрели с благоговейным трепетом.
1.15.2	Врача, юриста, священника, поэта, человека науки она превратила в своих платных наемных работников.
1.16.1	Буржуазия сорвала с семейных отношений их трогательно-сентиментальный покров и свела их к чисто денежным отношениям.
1.17.1	Буржуазия показала, что грубое проявление силы в средние века, вызывающее такое восхищение у реакционеров, находило себе естественное дополнение в лени и неподвижности.
1.17.2	Она впервые показала, чего может достигнуть человеческая деятельность.
